Nr,Name,Info,Height (m)
1,Bulbasaur,"En av Kantos start-Pokémon. Den har en lök på ryggen som lagrar näring och låter den klara sig i dagar utan mat.",0.7
2,Ivysaur,"Löken på ryggen har vuxit till en knopp. För att bära den extra vikten har dess ben blivit starkare.",1.0
3,Venusaur,"Knoppen på ryggen har slagit ut till en stor blomma med en lugnande doft, som omvandlar solljus till energi.",2.0
4,Charmander,"En av Kantos start-Pokémon. Lågan på dess svans visar dess livskraft; om den slocknar, dör den.",0.6
5,Charmeleon,"En stridslysten Pokémon som aktivt söker upp motståndare. Dess eld blir blåvit när den blir exalterad.",1.1
6,Charizard,"Dess eld är så het att den kan smälta stenblock. Den är känd för att oavsiktligt orsaka skogsbränder, men attackerar aldrig en svagare motståndare.",1.7
7,Squirtle,"En av Kantos start-Pokémon. Den drar sig tillbaka in i sitt hårda skal för skydd och sprutar vatten från munnen för att attackera.",0.5
8,Wartortle,"Den använder sina yviga öron och svans för att balansera i vattnet. Sägs kunna leva i 10 000 år.",1.0
9,Blastoise,"De två kanonerna på dess skal kan skjuta vattenstrålar som är starka nog att krossa stål.",1.6
10,Caterpie,"Dess fötter har sugkoppar som låter den klättra på väggar. Försvarar sig genom att avge en stank från sina antenner.",0.3
11,Metapod,"Dess hårda skal skyddar den medan den väntar på att utvecklas. När den är hotad kan den göra skalet ännu hårdare för att skydda sina mjuka inre delar.",0.7
12,Butterfree,"Vingarna är täckta av ett giftigt, vattenavvisande pulver. Den samlar nektar från blommor.",1.1
13,Weedle,"Har en giftig gadd på huvudet för försvar. Använder sitt akuta luktsinne för att hitta de blad den gillar bäst.",0.3
14,Kakuna,"Förblir nästan helt orörlig medan den förbereder sig för att utvecklas, men kan sticka ut sin gadd för att försvara sig.",0.6
15,Beedrill,"Lever i svärmar och attackerar allt som kommer nära deras bo. Använder sina tre giftiga gaddar för att besegra byten.",1.0
16,Pidgey,"En foglig fågel-Pokémon som föredrar att sparka upp sand i fiendens ögon istället för att slåss. Har ett utmärkt lokalsinne.",0.3
17,Pidgeotto,"En territoriell Pokémon som patrullerar sitt område i cirklar från luften, på jakt efter byten som Exeggcute.",1.1
18,Pidgeot,"Kan flyga i Mach 2-hastighet. Dess glänsande fjädrar gör den populär bland tränare. Jagar fisk som Magikarp.",1.5
19,Rattata,"Dess framtänder växer konstant, så den måste gnaga på hårda föremål för att hålla dem nere. Lever i stora kolonier.",0.3
20,Raticate,"Använder sina morrhår för att hålla balansen. Dess simhudsförsedda fötter gör den till en duktig simmare.",0.7
21,Spearow,"En snabb men inte särskilt skicklig flygare. Använder sina höga rop för att varna andra Spearow för fara.",0.3
22,Fearow,"Dess långa hals och näbb är praktiska för att plocka insekter och fisk. Har uthållighet nog att flyga en hel dag.",1.2
23,Ekans,"Använder sin tunga för att känna av dofter och hitta byten. Kan lossa sin käke för att svälja stora byten hela.",2.0
24,Arbok,"Mönstret på dess mage liknar ett skrämmande ansikte, som varierar beroende på region. Kan krossa oljefat med sin kropp.",3.5
25,Pikachu,"Pokémon-seriens maskot. Lagrar elektricitet i kindpåsarna och släpper ut den genom sin svans, som den använder för att kolla sin omgivning.",0.4
26,Raichu,"Kan lagra över 100 000 volt elektricitet. Använder sin svans som jordledning för att skydda sig från sin egen kraft.",0.8
27,Sandshrew,"Rullar ihop sig till en boll för att försvara sig. Gräver hålor djupt under marken där den vilar.",0.6
28,Sandslash,"Rullar ihop sig till en taggig boll för att attackera eller skydda sig. Använder sina klor för att slita sönder byten.",1.0
29,Nidoran♀,"En foglig Pokémon som inte gillar att slåss, men dess horn kan utsöndra ett kraftfullt gift om den provoceras.",0.4
30,Nidorina,"Dess horn växer långsamt. När den tvingas slåss föredrar den att rivas och bitas istället för att använda hornet.",0.8
31,Nidoqueen,"En mycket beskyddande Pokémon som använder sin kraftfulla kropp för att försvara sina ungar. Taggarna utsöndrar inte gift när den är med sina barn.",1.3
32,Nidoran♂,"Viftar med sina stora öron för att känna av omgivningen. Dess horn innehåller ett starkt gift.",0.5
33,Nidorino,"Dess horn är hårdare än diamant. Den är aggressiv och använder hornet för att krossa stenar i jakt på Månstenar.",0.9
34,Nidoking,"Extremt kraftfull och aggressiv. Dess tjocka svans kan välta ett el-torn och dess horn kan krossa diamanter.",1.4
35,Clefairy,"En skygg varelse som sällan visar sig. De sägs komma ut i grupp för att dansa under fullmånen.",0.6
36,Clefable,"Sägs ha kommit från månen. Dess känsliga hörsel gör att den kan höra ett knappnål falla på 1 km avstånd.",1.3
37,Vulpix,"Föds med en vit svans som delar sig i sex när den blir äldre. Kan kontrollera eld och skapa irrljus.",0.6
38,Ninetales,"Inspirerad av den niosvansade räven. Kan förstå mänskligt tal och lägga en förbannelse över dem som behandlar den illa.",1.1
39,Jigglypuff,"Kan blåsa upp sig som en ballong. Dess sång har en våglängd som får nästan alla som hör den att somna.",0.5
40,Wigglytuff,"Genom att andas in kan den blåsa upp sig till 20 gånger sin normala storlek för att skrämma bort fiender.",1.0
41,Zubat,"Har utvecklats utan ögon och använder ekolokalisering för att navigera. Ogillar solljus och gömmer sig i grottor.",0.8
42,Golbat,"Använder sina ihåliga huggtänder för att suga blod från sina byten. Kan dricka så mycket att den blir för tung för att flyga.",1.6
43,Oddish,"Gräver ner sig i jorden under dagen. På natten vandrar den runt för att sprida sina frön.",0.5
44,Gloom,"Den illaluktande nektarn från dess mun kan få någon att svimma på över en kilometers avstånd, men vissa använder den för att göra parfym.",0.8
45,Vileplume,"De stora kronbladen på dess huvud sprider giftigt pollen som förlamar byten innan den äter dem.",1.2
46,Paras,"Har parasitsvampar kallade tochukaso på ryggen. Svamparna dränerar näring från värden.",0.3
47,Parasect,"Svampen på ryggen har tagit över värdkroppen helt och hållet. Gruppen suger ut näring från träd tills de dör.",1.0
48,Venonat,"Dess stora fasettögon fungerar som en radar och kan skjuta ljusstrålar. Jagar små insekter på natten.",1.0
49,Venomoth,"Vingarna är täckta av giftiga fjäll. Ljusare fjäll orsakar förlamning, medan mörkare är direkt giftiga.",1.5
